2018-03-10 11:21:31-[16760]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:756:[IM] hn1358 成功获取游戏名字ASS_GP_LIST_NAME
2018-03-10 11:21:31-[16760]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:756:[IM] hn1358 成功获取游戏名字ASS_GP_LIST_NAME
2018-03-10 11:21:31-[16760]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:778:[IM] hn1358 成功获取房间信息ASS_GP_LIST_ROOM
2018-03-10 11:21:31-[16760]Auto_AIDlg.cpp:CAuto_AIDlg::EnterGameRoom:1049:[IM] hn1358 建立GameRoomEx
2018-03-10 11:21:32-[16760]GameRoomEx.cpp:CGameRoomEx::LoginGServer:562:[IG] hn1358 登陆GServer
2018-03-10 11:21:32-[16760]Auto_AIDlg.cpp:CAuto_AIDlg::OnSocketConnectEvent:463:[IM] 连接MServer事件dzb.hotniao.com:3015-0
2018-03-10 11:21:32-[16760]Auto_AIDlg.cpp:CAuto_AIDlg::LoginMServer:1001:[IM] hn1359 登陆Mserver
2018-03-10 11:21:33-[16760]Auto_AIDlg.cpp:CAuto_AIDlg::OnLogonMessage:633:[IM] hn1359 登陆成功
2018-03-10 11:21:33-[16760]Auto_AIDlg.cpp:CAuto_AIDlg::GetGameRoomList:737:[IM] hn1359 请求游戏列表
2018-03-10 11:21:33-[16760]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:749:[IM] hn1359 成功获取游戏类型ASS_GP_LIST_KIND
2018-03-10 11:21:33-[16760]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:756:[IM] hn1359 成功获取游戏名字ASS_GP_LIST_NAME
2018-03-10 11:21:33-[16760]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:756:[IM] hn1359 成功获取游戏名字ASS_GP_LIST_NAME
2018-03-10 11:21:33-[16760]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:756:[IM] hn1359 成功获取游戏名字ASS_GP_LIST_NAME
2018-03-10 11:21:33-[16760]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:756:[IM] hn1359 成功获取游戏名字ASS_GP_LIST_NAME
2018-03-10 11:21:33-[16760]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:778:[IM] hn1359 成功获取房间信息ASS_GP_LIST_ROOM
2018-03-10 11:21:33-[16760]Auto_AIDlg.cpp:CAuto_AIDlg::EnterGameRoom:1049:[IM] hn1359 建立GameRoomEx
2018-03-10 11:21:34-[16760]GameRoomEx.cpp:CGameRoomEx::LoginGServer:562:[IG] hn1359 登陆GServer
2018-03-10 11:21:34-[16760]Auto_AIDlg.cpp:CAuto_AIDlg::OnSocketConnectEvent:463:[IM] 连接MServer事件dzb.hotniao.com:3015-0
